indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2020 - 22,341.423103729078,318.109636965405,365.987339189546,803,255627,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2020 - 22,236.751112869262,217.913280125592,256.777919313193,586,256235,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2020 - 22,287.654385948796,272.672846109316,303.242800918183,1389,511862,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2021,346.34924,306.32219,390.13707,273,85361,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2021,249.01839,216.06869,285.55915,206,85524,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2021,296.15978,270.14417,323.99815,479,170885,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2021 - 23,332.960560484851,309.961777146835,357.207711077932,785,258569,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2021 - 23,234.663635142006,215.913241060757,254.602739966717,581,258731,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2021 - 23,282.296593325958,267.470745086457,297.728157292524,1366,517300,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2022,319.012103002146,280.557000707894,361.243431077416,251,86029,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2022,229.013589084729,197.439694748128,264.189202161256,189,86090,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2022,273.227393497222,248.196603555598,300.091029865105,440,172119,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2022 - 24,333.737422650919,310.711631413702,358.009781606054,789,261007,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2022 - 24,226.713101625627,208.279366253917,246.336843115937,561,261030,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2022 - 24,278.63295124675,263.902506569353,293.968849617726,1350,522037,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2023,334.205577588876,294.627433592033,377.591185193796,261,87179,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2023,224.769950412404,193.502656851824,259.634384426671,186,87117,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2023,277.201025379679,251.977235460086,304.256706371316,447,174296,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2023 - 25,324.683470031998,301.993203217112,348.617652059797,770,262810.212,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2023 - 25,230.351581268008,211.782359771196,250.108646943835,571,262588.955,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2023 - 25,275.96253,261.31887,291.21014,1341,525399.167,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2024,349.135420758386,308.934107987853,393.085142209446,277,87799,Better
